Cup,season,round,Date,HomeTeam,AwayTeam,competition_type,FTHG,FTAG,FTR,HomeDiv,AwayDiv,Div
CIT,2020,Fourth Round,2020-11-26,UC Sampdoria,Genoa CFC,domestic_cup,1,3,A,ITA1,ITA1,DCUP
SFA,2019,Final,2020-12-20,Celtic FC,Heart of Midlothian FC,domestic_cup,7,6,H,SCO1,SCO1,DCUP
DFB,2020,Second Round,2020-12-22,FC Augsburg,RB Leipzig,domestic_cup,0,3,A,DEU1,DEU1,DCUP
DFB,2020,Second Round,2020-12-22,TSG 1899 Hoffenheim,SpVgg Greuther Fürth,domestic_cup,8,9,A,DEU1,DEU2,DCUP
DFB,2020,Second Round,2020-12-22,Eintracht Braunschweig,Borussia Dortmund,domestic_cup,0,2,A,DEU2,DEU1,DCUP
DFB,2020,Second Round,2020-12-22,1.FC Union Berlin,SC Paderborn 07,domestic_cup,2,3,A,DEU1,DEU2,DCUP
DFB,2020,Second Round,2020-12-23,Hannover 96,SV Werder Bremen,domestic_cup,0,3,A,DEU2,DEU1,DCUP
DFB,2020,Second Round,2020-12-23,1.FSV Mainz 05,VfL Bochum,domestic_cup,2,5,A,DEU1,DEU2,DCUP
DFB,2020,Second Round,2020-12-23,VfB Stuttgart,SC Freiburg,domestic_cup,1,0,H,DEU1,DEU1,DCUP
FAC,2020,Third Round,2021-01-08,Wolverhampton Wanderers,Crystal Palace,domestic_cup,1,0,H,ENG1,ENG1,DCUP
FAC,2020,Third Round,2021-01-08,Aston Villa,Liverpool FC,domestic_cup,1,4,A,ENG1,ENG1,DCUP
FAC,2020,Third Round,2021-01-09,Arsenal FC,Newcastle United,domestic_cup,2,0,H,ENG1,ENG1,DCUP
FAC,2020,Third Round,2021-01-09,Brentford FC,Middlesbrough FC,domestic_cup,2,1,H,ENG2,ENG2,DCUP
FAC,2020,Third Round,2021-01-09,Manchester United,Watford FC,domestic_cup,1,0,H,ENG1,ENG2,DCUP
FAC,2020,Third Round,2021-01-09,Luton Town,Reading FC,domestic_cup,1,0,H,ENG2,ENG2,DCUP
FAC,2020,Third Round,2021-01-09,Queens Park Rangers,Fulham FC,domestic_cup,0,2,A,SCO1,ENG1,DCUP
FAC,2020,Third Round,2021-01-09,Nottingham Forest,Cardiff City,domestic_cup,1,0,H,ENG2,ENG2,DCUP
FAC,2020,Third Round,2021-01-09,Stoke City,Leicester City,domestic_cup,0,4,A,ENG2,ENG1,DCUP
DFB,2020,Second Round,2021-01-12,Bayer 04 Leverkusen,Eintracht Frankfurt,domestic_cup,4,1,H,DEU1,DEU1,DCUP
CIT,2020,Round of 16,2021-01-12,AC Milan,Torino FC,domestic_cup,5,4,H,ITA1,ITA1,DCUP
CIT,2020,Round of 16,2021-01-13,Juventus FC,Genoa CFC,domestic_cup,3,2,H,ITA1,ITA1,DCUP
CIT,2020,Round of 16,2021-01-13,SSC Napoli,FC Empoli,domestic_cup,3,2,H,ITA1,ITA2,DCUP
CIT,2020,Round of 16,2021-01-13,ACF Fiorentina,Inter Milan,domestic_cup,1,2,A,ITA1,ITA1,DCUP
CIT,2020,Round of 16,2021-01-14,US Sassuolo,SPAL,domestic_cup,0,2,A,ITA1,ITA2,DCUP
CIT,2020,Round of 16,2021-01-14,Atalanta BC,Cagliari Calcio,domestic_cup,3,1,H,ITA1,ITA1,DCUP
CDR,2020,Third Round,2021-01-16,CD Leganés,Sevilla FC,domestic_cup,0,1,A,ESP2,ESP1,DCUP
CDR,2020,Third Round,2021-01-16,Rayo Vallecano,Elche CF,domestic_cup,2,0,H,ESP2,ESP1,DCUP
CDR,2020,Third Round,2021-01-16,Girona FC,Cádiz CF,domestic_cup,2,0,H,ESP2,ESP1,DCUP
CDR,2020,Third Round,2021-01-17,RCD Espanyol Barcelona,CA Osasuna,domestic_cup,0,2,A,ESP2,ESP1,DCUP
CDR,2020,Third Round,2021-01-17,Sporting Gijón,Real Betis Balompié,domestic_cup,0,2,A,ESP2,ESP1,DCUP
CDR,2020,Third Round,2021-01-17,Málaga CF,Granada CF,domestic_cup,1,2,A,ESP2,ESP1,DCUP
CIT,2020,Round of 16,2021-01-19,AS Roma,Spezia Calcio,domestic_cup,0,3,A,ITA1,ITA1,DCUP
CIT,2020,Round of 16,2021-01-21,SS Lazio,Parma Calcio 1913,domestic_cup,2,1,H,ITA1,ITA1,DCUP
FAC,2020,Fourth Round,2021-01-23,Southampton FC,Arsenal FC,domestic_cup,1,0,H,ENG1,ENG1,DCUP
FAC,2020,Fourth Round,2021-01-23,Swansea City,Nottingham Forest,domestic_cup,5,1,H,ENG2,ENG2,DCUP
FAC,2020,Fourth Round,2021-01-24,Brentford FC,Leicester City,domestic_cup,1,3,A,ENG2,ENG1,DCUP
FAC,2020,Fourth Round,2021-01-24,Manchester United,Liverpool FC,domestic_cup,3,2,H,ENG1,ENG1,DCUP
FAC,2020,Fourth Round,2021-01-24,Chelsea FC,Luton Town,domestic_cup,3,1,H,ENG1,ENG2,DCUP
FAC,2020,Fourth Round,2021-01-24,Fulham FC,Burnley FC,domestic_cup,0,3,A,ENG1,ENG1,DCUP
CDR,2020,Round of 16,2021-01-26,Real Betis Balompié,Real Sociedad,domestic_cup,3,1,H,ESP1,ESP1,DCUP
CIT,2020,Quarter-Finals,2021-01-26,Inter Milan,AC Milan,domestic_cup,2,1,H,ITA1,ITA1,DCUP
CDR,2020,Round of 16,2021-01-26,Real Valladolid CF,Levante UD,domestic_cup,2,4,A,ESP1,ESP1,DCUP
CDR,2020,Round of 16,2021-01-26,Girona FC,Villarreal CF,domestic_cup,0,1,A,ESP2,ESP1,DCUP
CDR,2020,Round of 16,2021-01-27,UD Almería,CA Osasuna,domestic_cup,5,4,H,ESP2,ESP1,DCUP
CIT,2020,Quarter-Finals,2021-01-27,Juventus FC,SPAL,domestic_cup,4,0,H,ITA1,ITA2,DCUP
CDR,2020,Round of 16,2021-01-27,Sevilla FC,Valencia CF,domestic_cup,3,0,H,ESP1,ESP1,DCUP
CDR,2020,Round of 16,2021-01-27,Rayo Vallecano,FC Barcelona,domestic_cup,1,2,A,ESP2,ESP1,DCUP
CIT,2020,Quarter-Finals,2021-01-27,Atalanta BC,SS Lazio,domestic_cup,3,2,H,ITA1,ITA1,DCUP
CIT,2020,Quarter-Finals,2021-01-28,SSC Napoli,Spezia Calcio,domestic_cup,4,2,H,ITA1,ITA1,DCUP
CIT,2020,Semi-Finals 1st Leg,2021-02-02,Inter Milan,Juventus FC,domestic_cup,1,2,A,ITA1,ITA1,DCUP
DFB,2020,Round of 16,2021-02-02,SV Werder Bremen,SpVgg Greuther Fürth,domestic_cup,2,0,H,DEU1,DEU2,DCUP
DFB,2020,Round of 16,2021-02-02,Borussia Dortmund,SC Paderborn 07,domestic_cup,3,2,H,DEU1,DEU2,DCUP
