Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeDiv,AwayDiv
INT1,06/09/2022,Dortmund,FC Copenhagen,3,0,H,DEU1,DNK1
INT1,06/09/2022,Benfica,Maccabi Haifa,2,0,H,PRT1,ISR1
INT1,06/09/2022,Sevilla,Man City,0,4,A,ESP1,ENG1
INT1,06/09/2022,RB Leipzig,Shakhtar Donetsk,1,4,A,DEU1,UKR1
INT1,06/09/2022,Dinamo Zagreb,Chelsea,1,0,H,HRV1,ENG1
INT1,06/09/2022,RB Salzburg,Milan,1,1,D,AUT1,ITA1
INT1,06/09/2022,Celtic,Real Madrid,0,3,A,SCO1,ESP1
INT1,06/09/2022,Paris SG,Juventus,2,1,H,FRA1,ITA1
INT1,07/09/2022,Ajax,Rangers,4,0,H,NLD1,SCO1
INT1,07/09/2022,Ein Frankfurt,Sp Lisbon,0,3,A,DEU1,PRT1
INT1,07/09/2022,Tottenham,Marseille,2,0,H,ENG1,FRA1
INT1,07/09/2022,Ath Madrid,Porto,2,1,H,ESP1,PRT1
INT1,07/09/2022,Barcelona,Viktoria Plzen,5,1,H,ESP1,CZE1
INT1,07/09/2022,Club Brugge,Leverkusen,1,0,H,BEL1,DEU1
INT1,07/09/2022,Inter,Bayern Munich,0,2,A,ITA1,DEU1
INT1,07/09/2022,Napoli,Liverpool,4,1,H,ITA1,ENG1
INT1,13/09/2022,Marseille,Ein Frankfurt,0,1,A,FRA1,DEU1
INT1,13/09/2022,Liverpool,Ajax,2,1,H,ENG1,NLD1
INT1,13/09/2022,Porto,Club Brugge,0,4,A,PRT1,BEL1
INT1,13/09/2022,Sp Lisbon,Tottenham,2,0,H,PRT1,ENG1
INT1,13/09/2022,Leverkusen,Ath Madrid,2,0,H,DEU1,ESP1
INT1,13/09/2022,Viktoria Plzen,Inter,0,2,A,CZE1,ITA1
INT1,13/09/2022,Bayern Munich,Barcelona,2,0,H,DEU1,ESP1
INT1,14/09/2022,Maccabi Haifa,Paris SG,1,3,A,ISR1,FRA1
INT1,14/09/2022,Man City,Dortmund,2,1,H,ENG1,DEU1
